gene,anomaly_score
FABP4,0.00087397336
CAB39,0.0008722084
MRPL24,0.0008721423
IFI16,0.00087204226
PTBP1,0.00087177154
PUS1,0.0008713697
CADM4,0.00087115844
CD52,0.0008701742
TCF3,0.00087015366
CC2D1A,0.0008697972
MFSD13A,0.0008691537
SARDH,0.0008689576
MPV17,0.0008685456
HPSE2,0.00086749677
ATP5F1D,0.0008665876
ATF7IP2,0.00086556573
NT5C,0.0008646984
MCUB,0.0008644499
MAPKAPK2,0.0008621472
RPS11,0.0008615651
MRPL34,0.0008589546
SCARB2,0.00085688627
IRF3,0.0008562259
MATK,0.0008551101
DCPS,0.00085496035
LCK,0.0008547445
TDP1,0.00085416343
ID1,0.0008535625
SRM,0.0008525201
TNXB,0.00085224817
KIAA0040,0.00085017725
DMAC2,0.0008499972
NINJ1,0.00084855425
HIRIP3,0.0008468243
SLC16A1,0.00084112893
MUC1,0.0008403927
FH,0.0008397509
OLFM1,0.0008393177
CRABP1,0.0008389576
TOR3A,0.0008376172
UBA7,0.0008371172
CD300C,0.0008370352
CLDN14,0.0008361195
FAM3A,0.000835525
PRMT5,0.0008349068
KDM1A,0.000834798
SFTPB,0.00083410257
FUCA1,0.0008338231
POFUT1,0.00083212164
WAS,0.00083205703
MMP19,0.0008310147
SAP30,0.0008276175
GUCY1A1,0.00082748313
TRAFD1,0.0008271097
PRCC,0.00082687114
SEM1,0.0008267622
RPL13A,0.00082600914
RBFA,0.00082529034
MPI,0.00082524697
RAB8A,0.00082502153
H2AC16,0.0008229849
H2AC6,0.0008207091
BTG3,0.0008198874
CORO1A,0.0008197181
PTPN7,0.00081921887
ALDOC,0.0008184934
FUT2,0.0008184472
GZMM,0.00081731356
REC8,0.0008169467
C10orf95,0.00081663235
GREB1,0.0008165537
NCALD,0.0008163297
ZMIZ2,0.0008159018
FAM189B,0.00081488676
LSM3,0.00081487914
MYOZ2,0.0008147817
TCEA2,0.0008143573
BRINP3,0.0008143291
APEH,0.0008140653
NAA60,0.00081395754
SYNPO2L,0.0008137135
ATXN2L,0.000813001
GABARAPL2,0.00081213546
CD1A,0.0008116484
PGAP2,0.0008114232
MAGT1,0.0008111679
GSTM4,0.0008110961
PSMC4,0.0008105774
GRIK4,0.0008086778
INTS9,0.00080818764
MRPL20,0.00080734293
ATG9A,0.0008072849
PPP1R26,0.00080725807
RRM2,0.0008070564
CCR5,0.00080644566
SHB,0.0008061057
ITPA,0.000805815
PLP1,0.0008051494
RIOX1,0.0008050923
RETREG3,0.00080474705
EFNA1,0.0008046822
ZNF324B,0.0008043289
NOP16,0.00080273557
C2CD2,0.0008027025
SYNGR2,0.0008025772
CRIM1,0.0008023641
ZNF671,0.00080235896
TMEM223,0.0008018144
LDLRAP1,0.0008016469
GAS1,0.0008015656
RNF113A,0.00079941563
TDRKH,0.0007992445
PSMD13,0.0007985791
EFNA2,0.0007984395
HSPA2,0.000798237
DEPDC5,0.00079735037
ZNF358,0.00079717254
ZNF814,0.00079607614
ELOVL2,0.00079583965
ACAP1,0.00079556374
ITGB2,0.00079497235
NRSN2,0.00079490687
RARA,0.00079473807
PSMB9,0.000794549
CTSD,0.0007940147
CCDC51,0.00079354324
CXCL10,0.0007933374
FAM50A,0.00079197873
RDH11,0.0007911845
INSM1,0.0007900507
TBL1XR1,0.0007899491
AFG3L2,0.0007881972
RRP8,0.00078681536
H2AC8,0.00078680675
MRPL16,0.00078629743
MVD,0.00078615267
PRR5L,0.00078595564
FADD,0.0007855741
HLA-G,0.00078507455
PPIF,0.0007850625
TMEM268,0.0007848628
FBXW7,0.0007840318
SLC13A2,0.0007836563
CLASP1,0.0007831839
