gene,hazard_ratio,p_value,fdr,mean_expression,sd_expression
NME7,1.042445328,0.768472039,0.87532895,62997.32942,27307.24877
POGK,0.806085037,0.128979489,0.336186513,332345.8091,148678.0874
MPC2,0.797600209,0.113158489,0.313252342,738283.938,557520.8699
CREG1,1.211637717,0.180588178,0.401962231,1200559.224,552309.7222
DCAF6,0.761327218,0.056813392,0.219992663,449789.5861,244787.9359
GPA33,0.763617286,0.059744921,0.225150341,2617.598656,3446.925274
RXRG,1.314740516,0.056317257,0.218711398,5242.417618,20627.07163
TBX19,1.207983315,0.186318907,0.407971249,26660.18499,27561.41099
UCK2,0.905345352,0.483726021,0.689268877,202211.8741,123262.7369
TMCO1,0.85489779,0.271987302,0.503086812,670436.2204,276062.8663
XCL1,0.91773089,0.544625524,0.733012158,11445.47879,16505.91809
XCL2,0.802272017,0.120038701,0.323762759,22761.15699,33673.1672
POU2F1,0.992596959,0.958104034,0.980192479,64643.38504,28801.30263
DPT,1.217612883,0.170044453,0.389478475,950381.7838,2554432.494
MGST3,1.234794989,0.13792817,0.348612513,289899.6011,183566.2729
ADCY10,1.045859983,0.751535047,0.86586434,2434.322822,5157.258858
UFC1,0.796871054,0.111287267,0.31055845,1495326.219,705991.1921
PPOX,0.709512786,0.016796548,0.121153624,109264.4777,60764.38838
FCGR2A,1.157562067,0.303017586,0.532671165,147278.642,118676.4824
RGS5,1.259427601,0.107058483,0.304871506,638880.3798,1737035.315
SDHC,1.014153456,0.920808909,0.960336134,203009.5702,75990.25953
PFDN2,0.844989149,0.238100014,0.46704382,1637489.919,1364866.195
NR1I3,1.139121887,0.356746107,0.580883313,4968.916622,4830.742986
USP21,0.805759038,0.129167846,0.33628324,252199.3737,109322.8437
PRCC,0.681382727,0.007703007,0.083742488,556619.7105,220237.4312
RRNAD1,0.823267519,0.172900647,0.393189601,303881.775,153424.5936
MRPL24,0.760416887,0.057567571,0.221430836,1194854.629,799641.3908
CASQ1,0.830851747,0.191292782,0.413174638,60705.25746,1460909.242
ISG20L2,0.795139518,0.107989895,0.305950278,331623.3313,121556.6011
CRABP2,0.886534471,0.396320501,0.617173585,11060885.11,13599748.14
HDGF,0.741436996,0.03773232,0.180938521,2589904.695,1361640.852
ABL2,1.002944924,0.983399272,0.991849975,103814.0249,44649.40854
RGS16,1.098789726,0.509325169,0.707470213,313429.6025,287338.3604
TOR1AIP1,1.290021721,0.074057792,0.254869831,228239.9042,85218.16738
FAM163A,0.855680856,0.273176537,0.504294673,1159.681531,4392.410624
RGL1,1.194207151,0.217097447,0.44467825,127421.7296,97955.58056
PRUNE1,0.726789171,0.025700985,0.149159488,470544.0638,200263.5722
RORC,0.777100621,0.076556194,0.258877716,146566.7662,106255.2897
TUFT1,0.740394876,0.035649251,0.175259777,367708.6213,244769.8114
SF3B4,0.776700015,0.078049154,0.26194787,1240879.791,598612.7161
ECM1,1.010839944,0.939303726,0.970865487,916925.0502,1958578.791
TARS2,0.789822672,0.09925666,0.293234058,299441.3761,151395.4062
SNX27,0.747510427,0.04082373,0.187792263,239881.7575,104333.0518
SETDB1,0.670183379,0.005367792,0.071303065,191465.9373,75688.97088
ADAMTSL4,1.060180309,0.68165506,0.825290738,47798.95122,75690.41532
MCL1,1.017499174,0.903193637,0.951117365,2533205.929,1106342.894
CTSK,1.321826741,0.049514221,0.204476546,2667889.581,3652434.904
RFX5,0.728691044,0.027455309,0.154104123,331404.9075,155177.5244
PI4KB,0.808198028,0.135843299,0.345133661,486422.4486,168880.054
PIP5K1A,0.852129578,0.258870906,0.487307752,394208.1524,161113.2002
ANP32E,0.783651265,0.086544979,0.275676531,523533.7141,482184.8542
MINDY1,0.73819593,0.034948803,0.173554269,384880.3416,236146.0464
ANXA9,0.746664573,0.042095137,0.19052344,510625.6458,484503.9039
SELENBP1,0.942292185,0.674658831,0.821179078,1111636.988,872731.8854
CERS2,0.829003444,0.185836027,0.407504394,1621898.731,906601.6662
ENSA,0.889015472,0.407352949,0.626605141,1187036.529,711493.7175
SEMA6C,1.069758166,0.633729191,0.79340847,53211.86928,104626.1894
MRPL9,0.850388262,0.254690456,0.482216588,697185.8291,337624.6971
ARNT,1.202112102,0.198640748,0.422478537,285601.5792,101368.1681
POGZ,0.79316079,0.101823571,0.297204634,316902.73,137658.72
C1orf56,0.795889652,0.110254078,0.309453596,124214.6923,79570.67729
OAZ3,0.727681533,0.026133663,0.150616637,33476.19921,28114.94265
GOLPH3L,0.886428633,0.396869485,0.617860139,531751.575,353298.916
KCNH1,0.652918816,0.003295726,0.05850518,8171.573098,18975.976
DTL,0.868621717,0.323000801,0.551130089,137061.162,128722.406
DYRK3,1.032079624,0.827367492,0.91085016,60872.63465,44564.4751
EIF2D,0.92897773,0.60291939,0.772926035,199882.9799,80625.86996
INTS7,0.791666115,0.102827152,0.298615211,207141.7493,100139.9929
VASH2,1.112527348,0.453598084,0.664994815,27583.15856,41566.10503
TAF1A,0.903348117,0.472840808,0.680426533,49240.15647,21692.49304
SMYD2,0.769332504,0.066796101,0.240183837,218240.1134,120188.8961
SUSD4,0.90533654,0.484751358,0.689684747,170585.0562,235169.2691
DUSP10,0.953651544,0.73834737,0.859188976,206971.8374,172905.6501
HHIPL2,1.03131993,0.827960566,0.911171168,21793.97086,77228.39577
TP53BP2,0.795983331,0.108188157,0.306224918,252143.1882,184961.5315
ATP8B2,1.119798323,0.426909537,0.642463512,137021.729,91661.44632
ADAM15,0.882175557,0.377536943,0.600607326,872861.9629,558246.1691
JTB,0.694463791,0.011282154,0.099919387,2640333.632,1355469.555
RAB13,0.615660506,0.000840125,0.033658946,1003593.155,504598.6187
S100A8,1.129416211,0.389243155,0.611508837,1688807.973,11784984.64
TPM3,0.635350747,0.001625043,0.043060562,1348287.853,716886.3575
SLC27A3,1.047028294,0.744917261,0.862613836,129501.3591,87630.72597
S100A7,0.910245409,0.505411362,0.704232129,2557744.928,14916592.23
UBAP2L,0.690562331,0.009906643,0.093958175,718762.002,254171.3781
SLC39A1,0.697403546,0.012963615,0.107267035,1211938.632,482772.9458
HAX1,0.700248004,0.012796405,0.106393218,1016272.082,412129.4559
EFNA3,0.921739138,0.565406227,0.74734265,199088.9492,249438.7425
KCNN3,1.273934213,0.089719089,0.279683874,10140.57883,7661.080651
ILF2,0.883834264,0.387849992,0.610623981,2703022.68,1430476.592
RIT1,0.897323629,0.445339596,0.657592571,237252.3832,89420.47484
INTS3,0.852194858,0.259214261,0.487339176,202109.4919,89136.49577
PKLR,0.75277593,0.045632449,0.197018097,461.10597,1595.944711
FLG,1.57073412,0.001656295,0.043433729,1620.218206,16101.20526
ACTA1,1.004752909,0.973291382,0.987051537,1129981.377,36338997.76
GALNT2,0.729830193,0.030508188,0.161856512,294609.7457,151654.5563
TTC13,0.739273511,0.035359751,0.174736554,127888.1549,65677.00034
SCCPDH,0.816680219,0.156036021,0.371468977,996303.3878,700587.4266
LYST,1.12016538,0.426766753,0.642328595,60660.95373,39766.16908
CEP170,1.106958047,0.475132019,0.682575279,71420.38691,42003.37453
ACP1,0.865380467,0.30921614,0.538490482,459501.697,164129.8316
SRP9,0.738199848,0.033998907,0.171184,3067087.399,1286926.832
NVL,0.735352779,0.032578005,0.167673898,228035.643,138112.0512
DEGS1,0.851181999,0.256464791,0.484286607,1108232.955,1189107.297
FBXO28,0.91899071,0.550356891,0.737203817,283276.7417,123067.188
ARF1,0.890066199,0.415086951,0.633104485,4808959.748,2042273.725
LEFTY2,1.27856776,0.086883789,0.276292937,16101.52441,82904.65163
CNIH4,0.850096655,0.256070906,0.483769524,248457.089,148101.1216
ITPKB,1.119627775,0.425658454,0.641714252,212422.2545,160001.4675
GUK1,0.773874629,0.076286189,0.258578131,866568.7644,565742.4762
CDC42BPA,1.737837233,0.000215055,0.021686828,138071.5943,80004.09428
CNIH3,1.007357745,0.958624839,0.980192479,24353.87084,15668.90082
C1orf35,0.736117172,0.034987452,0.173554269,130466.094,94687.928
MBOAT2,0.707911397,0.016887242,0.121517781,233087.0845,229765.906
PARP1,0.702311118,0.014552794,0.112615317,911916.187,412434.7829
PSEN2,0.692360227,0.010899157,0.098137776,210287.2884,96607.0883
LBR,1.340949275,0.042959474,0.19241686,201266.1462,142645.5753
EPHX1,1.171772862,0.262224237,0.491289109,1722799.842,1253140.639
REN,0.869817683,0.32446555,0.552319066,4056.87314,10751.30549
SOX13,0.933568989,0.628225644,0.789462511,217857.5057,117124.0361
ETNK2,0.792617464,0.104592004,0.301697146,266631.2138,266034.7793
PPFIA4,0.883164449,0.384187587,0.606713808,11549.34949,21210.32318
PLEKHA6,0.892593881,0.421913738,0.638682092,294787.629,184040.4628
PTPN7,0.584747415,0.000262743,0.022851093,38990.14504,46181.6382
SYT2,0.970144649,0.830162374,0.912730573,1986.372167,5457.86307
GDF7,1.181056909,0.243652337,0.471734961,1312.240052,3994.304161
PDIA6,0.884145423,0.3862311,0.609069062,1129078.654,677522.1636
RHOB,0.852276511,0.258187327,0.486627158,4722256.814,3099920.656
CAMKMT,0.814464127,0.149744204,0.363173391,38479.88854,19747.85352
EML4,1.133467145,0.377576682,0.600607326,198370.8232,105255.3699
CALM2,1.221421113,0.161709025,0.379592311,2211056.58,842119.7474
RPS27A,1.080634737,0.590454622,0.765090816,3755311.704,2016163.912
VPS54,1.454378076,0.009902034,0.093958175,196554.1095,74715.16374
ASXL2,1.3605631,0.032438379,0.167298448,100424.8567,44905.67321
ETAA1,1.01179723,0.933889942,0.968549335,117961.8638,39130.82249
SNRPG,0.939023725,0.659910141,0.810984415,505341.6621,274274.8526
MEIS1,1.170359602,0.269358408,0.500272514,23071.03096,19402.01764
CIAO1,0.873221972,0.339561961,0.56612392,456890.8846,99671.3645
ZNF514,1.121788747,0.418331516,0.635315664,61722.18467,26764.30951
SNRNP200,0.823841884,0.171757521,0.391917077,705562.1966,237868.0905
TPRKB,0.944406103,0.687046031,0.828746705,247560.0093,108820.0813
NAT8,0.933695626,0.627816691,0.789193717,6301.423608,11900.14971
EXOC6B,1.469875701,0.007505818,0.082941344,84811.6971,36321.13666
TEX261,1.413793312,0.015905482,0.117752021,584963.7408,177954.32
DUSP11,0.81400865,0.149595334,0.363144175,159542.2708,42205.86137
NPHP1,1.003248815,0.981666158,0.990915239,15034.03148,8027.368545
MALL,1.353981942,0.034845006,0.173493111,15226.86818,22066.8804
THNSL2,0.725494536,0.025207788,0.14735829,170391.4503,101174.4884
RALB,1.073943219,0.614082392,0.781024939,545637.0325,185578.4387
TMEM177,0.780146673,0.081258843,0.267521282,101604.9471,46806.21281
RABL2A,0.921462664,0.56289711,0.746065472,35105.34176,17402.32076
SLC20A1,0.822673582,0.169499957,0.388706308,326720.4225,140424.5772
LIPT1,0.991048907,0.949251965,0.976250584,56999.33938,19705.26069
CNGA3,1.241869403,0.127344815,0.334231757,5453.350756,45774.78917
FAHD2B,0.791929488,0.101451128,0.296600407,111141.4347,64055.66093
AFF3,0.738275822,0.035492252,0.174920465,243670.7185,300644.6815
UBXN4,0.926909525,0.591226552,0.765668932,797039.1109,241683.2045
GPR17,1.260590593,0.106290297,0.303697331,5023.713711,10193.96707
POLR2D,1.010877546,0.939103448,0.970741478,184746.2864,66948.64993
PKP4,1.277130036,0.087424484,0.276719943,329072.9939,137209.7297
SCN1A,1.21022549,0.180865265,0.401962231,2425.538038,17362.74357
SCRN3,1.212830771,0.173359499,0.393502946,122599.8386,46309.59961
GULP1,1.147507754,0.333304064,0.560639046,20425.2931,22993.22027
HSPD1,0.914292726,0.526875584,0.721499653,2050162.774,1367227.37
PTH2R,1.035128981,0.807394575,0.899676746,12588.15358,28259.4955
NBEAL1,1.537515521,0.002864849,0.05464708,24364.07464,29181.78253
KANSL1L,1.526286453,0.003936615,0.062311216,36325.94307,22451.98818
SPAG16,1.555339704,0.002495157,0.051710661,46960.8706,61582.67019
ABCA12,1.04761506,0.74210881,0.86127958,64035.58539,136993.7597
ACKR3,1.573100229,0.001763427,0.044412645,378993.7336,508530.0299
TRPM8,1.38032371,0.024635112,0.145559073,4444.0494,29426.26473
ANKMY1,0.682366901,0.007677516,0.08358108,32173.43593,21075.63482
COPS7B,0.771404993,0.068070109,0.242976705,140228.9644,45793.48785
VGLL4,1.213009966,0.172800889,0.393109142,182028.4753,82475.47643
RAB5A,1.417822963,0.016578074,0.120657637,440318.1571,138780.5341
RETREG2,0.725042928,0.024729728,0.145800038,586409.804,177858.1402
CTDSP1,0.981102058,0.892663596,0.946365887,650814.3913,224026.348
CNOT9,0.797419999,0.112482075,0.312353912,270606.3564,93657.33268
GMPPA,0.81634811,0.156859312,0.37225603,209922.42,103310.7002
GRIP2,1.116000579,0.440254204,0.653569404,2842.708301,4821.560973
DYNC1LI1,0.771289702,0.069224041,0.24509434,190163.5223,80036.48489
RBMS3,1.032713998,0.821613855,0.907491082,44758.21578,48773.05921
OSBPL10,1.777968292,6.16106449501158e-05,0.013586734,52387.47218,32438.14559
ACKR2,1.500655918,0.00471435,0.067128129,23241.90941,52652.28747
SLC25A38,0.721934642,0.02311623,0.140701377,401269.3149,147926.7617
ITGA9,1.061829,0.672559879,0.819922773,70540.0362,67084.58906
SLC22A14,1.287111838,0.076344783,0.258669305,675.9566904,914.4434811
GOLGA4,1.294253973,0.069631514,0.245773833,354633.7755,169257.631
CTDSPL,1.194960711,0.208337029,0.433566749,256149.2469,107621.5069
STAC,1.102074033,0.49371583,0.6959574,19196.98752,39106.46545
IQSEC1,1.66356909,0.000497542,0.029503933,250572.2723,99255.63689
CAND2,1.031378136,0.827152977,0.910779884,22259.23667,50765.57329
RPL32,0.897460816,0.444860377,0.657045461,4980985.498,3009652.84
PTPRG,1.289869289,0.075842036,0.257760577,85389.19089,60311.86713
SHQ1,0.641528984,0.002085505,0.047946077,98134.84975,33629.28405
UBA3,0.86932501,0.322156508,0.550466434,330425.2254,94414.68096
ARL6IP5,1.1002212,0.503667102,0.702620241,1730995.219,622950.873
TMF1,1.182194169,0.237307368,0.466018319,219604.4068,88071.95722
LRIG1,1.062512244,0.668256345,0.817998274,585602.6423,371800.5455
LIMD1,0.732479291,0.030289329,0.161378449,87935.81252,34844.49839
COL8A1,1.007065151,0.960424441,0.981285587,269348.9473,274465.004
NXPE3,1.432113295,0.012842163,0.106700279,95078.88073,75879.99982
MYH15,0.952677596,0.73219216,0.85653871,1210.966143,2888.087962
ABHD10,0.911554137,0.512531189,0.710060686,256312.708,100164.6514
TAGLN3,0.80574378,0.126798778,0.33330516,4146.655655,42680.99468
PLA1A,0.993096935,0.961083447,0.981709995,40906.88605,79165.22971
RABL3,1.417871971,0.014604136,0.112615317,182143.4587,76560.07645
ADPRH,1.047082625,0.745705968,0.862886019,70235.25939,33144.4049
ATG3,0.827478747,0.182458058,0.403685114,185221.3256,54911.15872
NR1I2,0.891518063,0.416648272,0.634320667,1197.682795,1906.570177
SRPRB,0.820944845,0.169521539,0.388706308,508796.9265,229753.0256
AGTR1,1.259639015,0.105922411,0.303516954,213101.0351,613814.7256
ALDH1L1,1.069752084,0.635017928,0.794528228,14965.82498,70557.73016
OSBPL11,1.231068854,0.143834629,0.355586264,142653.1701,54684.26549
TRPC1,1.259462233,0.107657745,0.305510441,25952.57884,18304.92812
FAM86B2,0.944165537,0.684223577,0.827157883,3076.006495,3126.243561
LPP,1.330929796,0.045953114,0.197415493,166868.9919,109209.2324
RUBCN,1.133210915,0.376032063,0.599242238,107670.0369,36297.88397
AMT,1.293415977,0.071710745,0.249902333,34394.6371,31461.37712
TCTA,0.965120174,0.80227103,0.896866498,445409.9563,211822.9126
DCAF1,0.911512893,0.511675868,0.709444841,159815.1938,50290.06801
MANF,0.821688826,0.168558108,0.387544647,704158.8337,391158.1279
STXBP5L,0.962609385,0.787739784,0.888388961,1171.988583,5433.024349
EAF2,1.002051209,0.988439086,0.993927107,58444.75325,72657.28284
MUC4,0.955766654,0.74921747,0.864825546,3544.041967,29560.40441
SLIT2,1.264211755,0.104700701,0.30193864,51381.81331,44179.06459
EIF2B5,0.862126267,0.30170636,0.531288966,281128.6851,86966.70062
ECE2,0.844071187,0.235021324,0.463713529,45944.86331,44633.23096
DGKQ,0.803762512,0.129263066,0.336290217,107057.277,55373.86884
FIP1L1,0.785337787,0.090287,0.280707229,141782.7516,39586.24618
SLC26A1,0.811295334,0.144769801,0.357167781,25146.46163,19493.69734
CENPC,1.277057894,0.090544494,0.280707229,67478.23857,27771.48086
EPHA5,1.626438264,0.000745386,0.032413569,286.5770271,1098.257887
CORIN,0.857873491,0.28770192,0.517563767,14946.995,18902.8819
ATP10D,1.203092481,0.196805056,0.419835066,63949.33131,35877.21751
SCD5,1.200383989,0.200584924,0.424465217,104146.3546,150786.3834
PLAC8,0.864771824,0.306138263,0.5355094,15566.956,28134.1198
ENOPH1,0.941362085,0.669652959,0.818889884,569080.6879,253996.1709
SNCA,1.101807974,0.495796485,0.697507704,16893.25405,16921.66776
