gene,hazard_ratio,p_value,fdr,mean_expression,sd_expression
SLC29A1,1.360575451,0.030177143,0.160851623,961071.9095,976148.2837
CCN6,1.174160692,0.257210111,0.485314972,10988.72986,25851.29651
BTN2A1,1.128120949,0.395329955,0.61649542,171622.454,57910.05028
LAMA4,1.557607658,0.002004702,0.047149498,245346.8894,225353.9597
TENT5A,1.41150594,0.016191029,0.118914547,147982.8016,214211.5826
CLIC5,1.140435481,0.358410527,0.582924889,24028.5698,88581.61655
LY86,0.945843334,0.69792847,0.835868563,137122.4331,96201.54953
PRSS16,1.156419568,0.310365235,0.539620225,50909.72613,47178.85705
MEP1A,0.878667721,0.362465779,0.586828552,863.0667337,2391.248267
ERBIN,0.931375797,0.616099162,0.782462601,266623.1495,115228.0824
PCDHB2,1.334430924,0.043413516,0.193087023,52141.15436,66894.55115
HARS2,0.987069709,0.927823511,0.964856639,279611.4283,82012.32247
CEP72,0.768724064,0.064832202,0.236043518,34706.41037,23827.49549
MAN2A1,1.721606397,0.000182855,0.020280146,135756.4679,84412.05722
SEMA5A,1.234807236,0.140724168,0.351756121,93825.37118,111640.6197
C7,1.189163479,0.226937527,0.455784019,136081.77,421340.2591
TENT4A,1.238990894,0.133694761,0.34260877,157741.2107,69769.14759
GHR,1.409743735,0.018417731,0.126302117,110372.7882,243896.8902
HMGCS1,0.92472134,0.580015963,0.758001984,356083.1474,260769.0969
DAP,0.916522758,0.539776951,0.729425016,1306304.101,622871.5331
NME5,0.738893743,0.033210327,0.169333002,51993.73349,50487.30408
BRD8,0.875876416,0.3515253,0.576215505,202895.4007,68441.21222
KIF20A,0.917611382,0.544153949,0.732710747,166849.4104,146962.1984
NNT,1.223797735,0.153458763,0.367774151,182829.4534,129509.2711
MRPS30,0.907902416,0.495072654,0.696986368,486658.99,700643.0698
HSPA9,1.084088441,0.568781882,0.749755116,1634407.028,635465.3918
MRPS27,0.97172827,0.839714907,0.919003577,247729.2653,78338.09005
PFDN1,1.124393832,0.406489704,0.626016582,609416.8644,180352.4956
HBEGF,1.247085956,0.125601691,0.331963018,92315.09678,97384.27477
LOX,1.325990259,0.047052219,0.199234422,260071.4123,223830.8042
GZMK,0.681940099,0.007729038,0.08377488,85580.52589,146566.2067
APBB3,0.951776111,0.727632575,0.853351785,69306.83502,42913.15332
TMCO6,0.956224438,0.751456146,0.86586434,70559.19944,30467.79969
SPARC,1.128591322,0.392047708,0.613522944,13020135.93,12250996.24
IK,0.871997995,0.3389325,0.565620513,660016.9788,181652.2431
HMGCR,0.918083052,0.546830958,0.734433891,233372.4984,135147.7869
CERT1,1.249485435,0.117518695,0.319811611,133995.5398,65627.22292
FAF2,0.76014402,0.054725197,0.214815896,360139.2939,112383.9608
PCDHB3,1.55189168,0.002468289,0.051396515,18285.14013,31634.03341
PCDHB6,1.398802212,0.020700942,0.133255426,17894.09042,32153.97692
PDE8B,1.49916982,0.005692945,0.072576046,43284.15712,54976.41214
CLK4,1.185441694,0.229794358,0.458564541,64229.65688,30704.75133
HAVCR1,1.030275549,0.832837964,0.914706836,1324.922521,5001.583747
GRM6,1.371846959,0.029156268,0.158635943,1118.024123,2009.812422
ITK,0.711354436,0.017289754,0.122661875,17322.02611,26580.76177
RNF130,1.233396276,0.14027407,0.351164472,167287.2228,66358.2069
THG1L,0.660457844,0.00370183,0.060721065,97127.96818,36209.0604
ARSB,1.015731243,0.912131877,0.955359752,61194.93018,32464.38333
CLINT1,1.156870625,0.302814957,0.532533191,324162.2348,105467.2715
THBS4,0.941303484,0.669806163,0.818889884,336185.2814,736380.8126
CNOT6,0.779995601,0.080401988,0.266004279,234579.8843,93315.82537
IL12B,0.538295301,1.85714332250433e-05,0.009133812,2693.606105,4108.623849
BTNL8,1.407288167,0.017435592,0.123144232,639.6296678,2427.791974
TTC1,1.00722927,0.959782416,0.980795404,610150.1827,198164.5978
MSH3,1.19661086,0.206558256,0.431435615,124720.3264,51036.73071
CCNG1,1.184275941,0.239273785,0.468424497,666936.624,304197.7585
POLR3G,1.212251048,0.182692698,0.403982444,20733.48164,20355.07512
DROSHA,1.320559902,0.050020604,0.20526106,208626.3294,74137.18727
CDH6,1.183007897,0.237074369,0.465712064,12233.94774,8813.624691
LMNB1,0.793916681,0.105118558,0.302566249,380735.493,281630.3044
GOLPH3,0.809460432,0.13731326,0.347567002,1295717.122,448262.5714
SUB1,0.9058053,0.485418754,0.690184184,584087.5832,380413.6775
NPR3,1.487001254,0.005681332,0.072525475,50805.88029,124033.4603
FAM172A,1.610615392,0.001064532,0.037230805,130869.2311,57000.81887
SLC27A6,0.806104167,0.126903771,0.333508627,28131.36362,56646.51046
TARS1,1.209707038,0.178334495,0.399016418,429910.8335,208227.3767
IRX4,1.185221373,0.231500361,0.460070337,28832.18143,56054.26521
LNPEP,1.288002804,0.077067849,0.259649252,145900.5119,87195.36547
PDE4D,1.494077467,0.005967241,0.073911862,19969.22482,32229.75058
RAD1,1.205727961,0.185596572,0.407274815,120414.5242,42122.5198
BRIX1,1.10361391,0.48545257,0.690184184,177060.975,89484.2721
PRLR,0.962892559,0.789930565,0.890086438,442135.4824,399440.1453
SLC12A7,0.818807936,0.167217968,0.386224305,399561.8488,210219.6889
IL4,0.911603341,0.515097962,0.712147673,1383.713741,1901.1096
RAD50,1.410281113,0.015969974,0.117883718,214822.8439,89041.16698
IL5,1.199185156,0.200484988,0.424385049,756.1158189,2340.906893
ST8SIA4,1.042397773,0.770340736,0.876237218,45026.19436,28151.51276
GNPDA1,0.815196729,0.150850057,0.364461596,315665.7117,104392.845
PCDH12,1.459748955,0.008054917,0.085044449,71988.39225,40696.34478
SKP1,1.314979384,0.053267988,0.211980131,546529.4534,198709.5089
NUP155,0.884898249,0.38866193,0.611120543,158337.9144,84091.05276
PPP2CA,0.912827005,0.519562018,0.715630068,678593.4055,208069.8255
FGF1,1.013748036,0.923114081,0.961945188,79855.63196,82874.87321
NR3C1,1.273542781,0.092838951,0.283505366,173954.8369,138627.8106
C5orf15,1.01311116,0.926626819,0.964071382,810669.0905,269613.0866
PPWD1,1.153204901,0.315889316,0.544024315,137124.5698,44068.81082
LIFR,0.994397871,0.968360672,0.984634011,101485.5621,131278.9465
TRIM23,1.317185308,0.05280955,0.210827183,84238.72359,38830.12969
TRAPPC13,0.944032629,0.684448584,0.827246569,76297.09364,28053.58433
C9,1.360222881,0.030866582,0.162933307,1566.03136,45683.99308
SEC24A,1.14301814,0.347214036,0.57182473,157451.5104,72378.45074
TXNDC15,1.226407371,0.1508367,0.364461596,262811.1267,81691.91795
TTC33,1.212460247,0.1792443,0.400459128,91865.19125,40603.91082
RARS1,1.036813038,0.798579854,0.894506857,518697.6049,151872.6063
WWC1,0.930406608,0.611446058,0.779508916,146919.8761,77217.01691
MACROH2A1,0.69571046,0.012191988,0.103503474,331862.2889,118582.7314
TCERG1,1.001639586,0.990768418,0.99521391,147935.2236,50278.01805
DPYSL3,1.222406569,0.158214408,0.374223043,569631.8608,417999.864
SMAD5,1.562139118,0.002165875,0.048598247,207010.8868,82468.95417
CSNK1A1,1.158229416,0.299866983,0.529442378,399982.9164,167105.3727
HMGXB3,1.185983845,0.230619867,0.459150786,247321.6849,84252.42457
PDGFRB,1.124236815,0.408501303,0.627652803,674116.6979,444770.6256
CDX1,0.697205646,0.012887667,0.106768723,5831.591716,14438.4566
ATP6V0E1,0.838053252,0.213999903,0.440164878,2468469.624,1036541.474
BNIP1,0.818020977,0.158556411,0.374665452,102536.0206,42138.134
STC2,0.754820351,0.047517089,0.200369619,1978522.893,3239923.72
HRH2,1.465859377,0.007934878,0.08453757,10211.34056,11131.34526
DBN1,0.932851597,0.625070698,0.787379355,493351.6585,295376.4866
EHHADH,1.423314753,0.014913011,0.113208,62097.913,42927.43643
SMC4,0.816057995,0.153934973,0.368061686,172638.4288,126945.924
ACTR8,0.904990741,0.479653709,0.685785432,141090.2792,43360.07835
TBCCD1,0.99174346,0.953211555,0.977928523,95639.92504,32074.07916
CRBN,1.282066216,0.084272237,0.272023584,132722.4886,44527.42347
KNG1,0.965469489,0.804648623,0.898189954,960.5157757,21266.86978
BCL6,1.279389553,0.085356952,0.273913733,272731.4421,181625.0423
HGD,0.920331493,0.556519033,0.741514228,82742.56533,141741.9848
CLDN16,1.096595471,0.517185783,0.7139727,2810.156968,18061.51317
CD86,0.83429331,0.206310452,0.431162953,87598.34128,65946.11705
AMOTL2,1.230411079,0.146630053,0.359140298,311079.0352,217687.8555
NIT2,0.814290661,0.151705616,0.365753846,144036.3174,56795.03343
FAM162A,0.693770062,0.011179376,0.099633254,362984.0187,221470.4877
OGG1,0.981471843,0.894973226,0.94731909,53175.92145,19905.07725
KPNA1,0.913936016,0.526435607,0.721374427,167844.1713,52224.3914
PCCB,0.811846534,0.145906315,0.35821719,170209.4951,71929.56855
UBE3A,1.059529507,0.682459996,0.825851741,218273.6798,87238.60252
ARMC8,1.557934168,0.002271023,0.049789264,96668.48534,27677.097
CEP70,0.977631947,0.873019633,0.936047392,131252.6415,59163.86236
RBP1,0.682047232,0.00728166,0.081810393,286914.15,546189.9959
SLC25A36,1.326910887,0.048530237,0.202624852,182982.2989,79699.19959
RNF7,0.701380374,0.013529884,0.109258046,469310.4689,187045.7166
TFDP2,1.270820387,0.092130164,0.282549226,109826.0084,46122.0092
KAT2B,1.398863141,0.020031366,0.13132277,80286.51767,62032.87647
BCHE,1.439815987,0.012076308,0.102938009,67421.56942,905459.3183
SERPINI2,0.935498337,0.637746375,0.796622849,563.157099,1642.411761
PDCD10,0.835732999,0.210572221,0.436414808,302697.1381,117002.7334
LRRC31,0.939802297,0.662169013,0.812541719,44928.94636,121974.3176
WNT5A,0.934381608,0.632349074,0.792419193,91995.71092,131521.8299
PFKFB4,0.730105884,0.029887951,0.160375179,48581.2929,32667.75739
COL7A1,0.968817495,0.823077821,0.908278209,51382.50336,104519.5284
FGF12,1.328306899,0.046399774,0.198259344,18204.13871,85301.90932
PRKAR2A,1.757394729,0.000123091,0.01653382,274730.0659,110726.2845
HES1,1.149074649,0.329519511,0.5573298,790609.5837,464105.69
USP4,0.995224003,0.97298178,0.987024985,231366.2026,55916.19991
ACAP2,1.527983152,0.003567499,0.060233935,134096.6712,60117.62216
ECT2,0.909911016,0.506493365,0.705020256,236103.3905,166193.4563
GNAT1,0.874504563,0.34370307,0.569300575,341.1169675,1039.249528
GNAI2,0.923071464,0.571015652,0.751513982,943415.1351,328128.3738
TFG,0.978089686,0.875759055,0.938139832,596375.3159,233517.0498
HYAL1,1.388011945,0.022974219,0.140270373,25143.24738,45332.71992
TUSC2,0.68426051,0.009249044,0.090977779,296670.2575,119087.4107
NPRL2,0.606546674,0.000656658,0.030768763,152979.4913,69739.36995
RPL24,0.875312102,0.349237793,0.573554636,4395545.229,2530095.709
CYB561D2,0.676602125,0.007657087,0.08358108,289206.895,166134.249
C3orf14,0.844568914,0.233181393,0.461824389,143648.2947,103792.3423
FXR1,0.92658935,0.591744305,0.765991745,282520.2721,116415.4533
CBLB,1.423598178,0.013999852,0.110761919,68957.35137,32411.22576
BBX,1.28832532,0.081554918,0.268126955,166568.792,80854.5011
IFT57,0.888845339,0.405476736,0.62510313,211377.9288,71968.34957
HHLA2,0.784470078,0.086115348,0.274827994,393.2283827,1054.00716
IQCG,0.73643763,0.032644809,0.167673898,67519.51059,49049.14856
GBE1,1.601353149,0.001105417,0.037876409,164444.6533,155243.4012
UMPS,0.808844609,0.139606824,0.350655911,121975.2321,38312.94471
NCBP2,1.034616337,0.810219371,0.900858837,488469.6829,170784.8468
SNX4,0.850651227,0.25371478,0.481122819,390724.3046,117284.3796
C3orf52,0.729840499,0.029916219,0.160451276,62725.58719,65399.15935
FRMD4B,1.105222924,0.480278811,0.686299119,61034.97933,31240.71501
SLC41A3,1.433523986,0.01270528,0.106281126,170011.1322,66780.43174
ROPN1B,0.937514908,0.648017007,0.802815904,32685.11499,102079.2155
PLXNA1,1.105873515,0.47620111,0.683461382,160868.2498,89743.35862
ATP6V1A,0.959313947,0.769495106,0.875934684,497812.4088,195629.7526
PODXL2,0.701312487,0.013955882,0.110703844,517856.5947,511320.4034
UPK1B,1.249566386,0.115123377,0.316749269,4693.850241,26459.14782
CSPG5,0.778544948,0.082373153,0.269574728,12892.73669,18944.36696
KLHL18,1.04497246,0.755327896,0.867898388,73858.37083,19254.10034
SCAP,1.127723841,0.394668807,0.616109401,328283.0203,119017.8595
EFCC1,1.036443592,0.799934727,0.895491334,59696.00682,82760.28103
NEK11,0.883855218,0.384115345,0.606713808,77998.02568,42671.52722
MRPL3,1.01734275,0.903343536,0.951135518,847356.0446,326819.9555
PLSCR4,0.982455827,0.90059993,0.950030764,144129.2177,143967.6572
HEMK1,0.802335416,0.121123351,0.325318861,35231.25516,18433.50695
CISH,0.550687553,4.39922146069567e-05,0.013295547,257908.2086,196700.8967
MAPKAPK3,0.610586176,0.000697915,0.031481709,284260.5969,112335.2708
ACVR2B,0.810154029,0.139135929,0.350127861,29606.47894,17227.14412
WDR48,1.21205662,0.17962064,0.401077562,174325.4498,53716.27071
GORASP1,0.993372371,0.962469675,0.982079023,194992.3375,52808.48
PEX5L,1.314867942,0.054730165,0.214815896,11622.39926,58300.04426
RRP9,0.806288228,0.131735433,0.339925219,312006.1634,172343.5711
ABCC5,0.864432114,0.311039515,0.539836375,162564.4833,144811.2241
AADAC,1.220173846,0.164458197,0.383236522,15601.26175,148393.5651
EIF1B,1.26136616,0.103238695,0.299364977,401637.3711,130005.9834
ABHD14A-ACY1,0.949234103,0.71264434,0.844044032,1848.784331,1397.801677
ARHGEF26,0.90108733,0.460800259,0.671562909,109227.0729,83379.98891
KLHL24,1.384007439,0.025231549,0.147425907,170637.4535,91247.3635
PLCH1,1.426612899,0.013460595,0.109138253,38805.87591,54275.2678
VIPR1,1.184407868,0.233185216,0.461824389,57559.58952,42344.84461
SSR3,1.16689967,0.27432539,0.505875396,1102619.688,394149.0654
TNNC1,0.898907589,0.454806617,0.665958962,132627.1541,3982105.799
NKTR,1.001340671,0.992473315,0.996429691,111044.6847,81070.10585
CLCN2,0.810795083,0.143056888,0.354678983,54237.00842,37963.13315
EIF4G1,0.927950213,0.599420087,0.770628866,1264759.821,437236.445
SPCS1,0.698381741,0.012747757,0.106281126,451709.8761,164478.5639
NEK4,0.877467255,0.355762898,0.580485582,95806.57422,39051.47872
SLC4A3,1.158581218,0.299586413,0.529024269,56825.70202,44116.47063
INO80D,1.296111799,0.075113139,0.256364408,48389.22398,29570.04987
EEF1B2,0.89943571,0.456271338,0.667618519,3015681.654,1461983.645
ADAM23,1.119160146,0.428723434,0.643426376,11860.44903,14810.37562
DGUOK,0.801568846,0.122400736,0.32736781,652988.9188,306243.9655
MOB1A,0.905394764,0.48405561,0.689461466,595879.6575,178607.5939
KANSL3,1.136235677,0.368890098,0.593173166,227237.0531,73786.1782
LMAN2L,0.802527367,0.122732406,0.327878468,331185.8182,116512.5718
IL1A,1.028452359,0.843215534,0.921166871,3863.561131,22369.5736
CCL20,0.860260173,0.288137235,0.517851188,23947.69613,94763.21804
PIKFYVE,1.514328564,0.004963811,0.068530006,85346.07261,40842.86911
FAHD2A,1.341073342,0.039828376,0.185471969,60739.70627,39052.21509
NCL,0.71785387,0.020572655,0.133067324,2178243.349,714110.9207
ACTR1B,1.096212474,0.515713426,0.712672566,509930.5152,169440.0542
SLC35F5,1.138470938,0.361050682,0.585704794,179268.152,81625.97277
ZAP70,0.718079491,0.020479593,0.132678347,27000.00916,43770.39524
ACTR3,0.887293248,0.401685159,0.621922629,424291.6878,164870.6144
STEAP3,1.080694625,0.586391323,0.762409626,299467.5061,246281.9602
EPB41L5,1.134473482,0.372301123,0.595888823,115726.3651,63677.56029
TFCP2L1,1.02593147,0.856700292,0.928051349,113979.7649,203406.673
TP53I3,0.806112826,0.130080796,0.337961113,149505.5033,93486.96491
POMC,0.873032132,0.339830743,0.566410091,13855.98422,48417.61878
STAM2,1.282428522,0.080247806,0.265844748,158203.2229,59477.26777
GPD2,0.935330482,0.636608028,0.795529713,300437.5181,184263.1058
CENPA,0.941295682,0.669805164,0.818889884,85599.92878,98149.76824
CYTIP,0.700922757,0.014328059,0.112038751,87534.47774,104005.7279
ACVR1,1.238881434,0.133441006,0.342196567,265801.2878,109914.6783
SLC30A3,0.950644611,0.721029382,0.84930929,1473.811564,4582.622435
MPV17,0.749379296,0.045435142,0.196492038,199795.2764,71175.76557
GTF3C2,0.774619564,0.07440855,0.255351877,275739.0726,88764.15655
EIF2B4,0.707778086,0.018571807,0.126302117,192803.6786,62480.41433
NRBP1,0.924087184,0.577697101,0.756296773,549096.5205,184664.2056
ITGB6,1.22771069,0.151142415,0.364775535,336701.4946,644516.0997
FNDC4,1.189496306,0.224967781,0.453801155,91938.76565,99312.77799
ITGA4,0.880036618,0.368094887,0.59245095,42746.52037,47010.12342
PSMD14,0.915241247,0.531751292,0.724436711,211344.0201,83839.29346
SNX17,0.969651642,0.827790155,0.911066568,746532.7922,223962.5053
PPM1G,0.692801944,0.011204501,0.099633254,798926.1919,349879.1459
PDE1A,1.35602288,0.034410768,0.172396096,17655.1411,14209.26956
APC2,1.470827041,0.007091979,0.080872513,4859.981151,3968.804254
IFIH1,0.878369712,0.360754235,0.585468915,264723.5327,265752.8464
RPS15,0.695696405,0.011922547,0.102638951,2786724.301,2160426.201
GCA,0.872296907,0.335005681,0.562093502,129463.2744,56058.98361
INO80B,0.71411591,0.019043901,0.127900955,50916.06355,36832.30407
MOGS,0.751746617,0.047249644,0.199930327,505226.9503,211527.764
TTC31,0.645508938,0.00239915,0.05079375,118512.7381,32603.44808
NDUFS7,0.935272401,0.639408687,0.797645942,104155.7147,72680.50805
PCGF1,0.855332029,0.274298057,0.505875396,137881.4166,53282.08148
GRB14,1.12081427,0.422412804,0.638880621,100334.5072,362333.5723
CLIP4,1.108179115,0.470140133,0.678791839,62206.35893,68365.02596
TLX2,0.769500994,0.070306283,0.247146707,1320.646894,3256.2247
SPTBN1,1.291642155,0.072529681,0.251523612,478581.6723,513800.2831
AUP1,0.76586125,0.064099673,0.234808546,1098313.818,456798.0263
RTN4,1.617190958,0.000868244,0.034301332,1278981.697,555674.839
HTRA2,0.865844314,0.310575506,0.539622449,178799.7892,60588.24384
DOK1,0.821371106,0.173593672,0.393654831,146315.5349,118909.7341
GALNT3,1.214377688,0.173263648,0.393496945,225064.9577,214916.4737
TACR1,0.866004204,0.309426139,0.538615129,20859.67177,34365.1262
CCDC88A,1.32426185,0.049467462,0.204445249,52212.86425,53318.08599
ACADL,0.972320047,0.842675292,0.920909564,11378.55702,33555.25618
MRPL19,0.850595254,0.254342733,0.481891946,239034.4303,87335.41896
LANCL1,1.28059659,0.084077098,0.271621602,365449.9112,152139.73
EFEMP1,1.349547886,0.038454044,0.182632974,760016.9787,994177.1843
FANCL,0.901976596,0.469453213,0.678124016,198270.4669,115973.4849
FN1,0.908332532,0.500677709,0.700461695,6215545.704,6372805.804
STAT1,0.782711145,0.087492126,0.276719943,1427449.522,1238706.9
GLS,1.378402068,0.026727237,0.152049678,178866.2263,179938.6761
PAPOLG,1.237228485,0.142787584,0.354447455,61516.64855,20885.14781
DNAH6,1.081457746,0.582435855,0.759816387,3976.637947,5269.432654
PECR,1.484791008,0.005703337,0.072576459,83987.1932,80626.67308
UNC50,1.400413319,0.018533528,0.126302117,332147.8255,78011.79314
IGFBP2,0.827804731,0.185172582,0.406787452,738169.0455,1110600.815
IGFBP5,1.281783513,0.079870569,0.265381251,5519475.006,10581461.35
USP34,1.368825935,0.028743868,0.157775128,127466.5507,80279.70105
EFHD1,0.85039442,0.252181232,0.479214845,2178646.643,1723011.968
KCNJ13,1.080291855,0.587264096,0.763134006,3569.007459,19113.72707
CCT4,1.270978237,0.090789499,0.280823806,1587501.022,618735.3294
GGCX,1.41372313,0.016483122,0.120183628,144050.8382,49586.04116
EHBP1,1.333570392,0.045176445,0.196311303,127586.9973,84357.52138
TXNDC9,0.93693862,0.644947021,0.801065163,264966.939,88432.55749
COQ10B,1.20426293,0.194505618,0.417383524,302064.2005,111846.7446
GNLY,1.020785838,0.884432662,0.942225704,46018.27643,117608.7997
SF3B1,1.261236409,0.105245293,0.30271481,912144.1639,276578.8297
ST3GAL5,1.497749894,0.005082131,0.069264805,65811.8628,52411.2936
CHST10,0.559642541,7.53424250644981e-05,0.014457374,92481.80553,55590.7627
PDCL3,0.916214114,0.538592104,0.728630253,342970.045,145994.4111
MOB4,1.263182731,0.103545464,0.299894852,179911.706,74456.94118
HSPE1,0.920444761,0.55863102,0.742593458,1072389.758,672259.848
KDM3A,1.216170208,0.170161045,0.389524119,130220.1084,53753.4987
CHMP3,1.654801608,0.000719961,0.032032767,356740.2592,101659.0839
ZNF142,0.905079485,0.480496388,0.686447748,105367.6689,29492.4192
IL1R2,0.990029795,0.943697274,0.973741579,13824.61115,99097.48266
IL1R1,1.639891023,0.000758301,0.032856979,282905.1408,250100.1104
WNT6,1.177936142,0.249325744,0.476612733,25473.62946,73135.48667
IL1RL2,1.489513618,0.006677207,0.078675195,18035.21569,21525.22163
IL1RL1,1.21654891,0.172506528,0.392952018,6172.944804,31195.7092
IL18R1,0.986555832,0.924066857,0.962523198,16739.41159,13876.97722
IL18RAP,0.953178785,0.735378296,0.85757521,6148.724825,7536.997968
SLC9A2,1.207155174,0.183688776,0.405073625,23791.62449,43458.26471
FHL2,1.363055929,0.033082332,0.169033101,277015.6537,287489.8668
MLPH,0.536866964,3.68260627091549e-05,0.012774609,1004993.214,889112.101
CNPPD1,0.754643078,0.049171556,0.204244385,705722.1415,236983.1613
UXS1,0.8544813,0.267931642,0.498698208,120508.4734,55151.73614
ABCB6,0.925098833,0.581898363,0.759563898,26754.35507,17501.30689
STK16,0.724337347,0.025033644,0.146766111,172792.1666,60010.31276
SLC5A7,1.325871832,0.047643966,0.200453596,2694.553764,25590.11959
HDLBP,0.930532394,0.612380985,0.780009875,1404200.538,465927.6927
PPP1R7,0.716257958,0.020439855,0.132546198,383639.1182,134189.309
PASK,0.597936683,0.000481609,0.029289182,39741.08826,21178.70372
STK25,0.855888462,0.273160579,0.504294673,235156.9293,89062.61719
TPO,1.179463172,0.245684356,0.47359999,9415.059575,9703.279572
PROC,0.660230645,0.004691359,0.066988569,8276.822388,14144.57109
ID2,1.377218311,0.027172109,0.152996563,694380.9414,389581.6061
TAF1B,1.054916479,0.706008175,0.840745624,81995.18043,33045.09462
HPCAL1,0.955449131,0.747445037,0.8636841,138681.2651,103538.4341
ODC1,1.250112671,0.118799176,0.321793241,431710.2716,428895.7179
NOL10,0.997808497,0.987649035,0.993566546,245217.0069,109623.6767
PLEKHB2,0.834296428,0.207054465,0.432161849,446939.5354,172496.4103
GORASP2,0.852835144,0.262555628,0.491526228,557774.4465,178938.4256
STRN,1.432544948,0.013691851,0.109715276,167471.1852,79897.03494
CEBPZ,1.335616155,0.04386435,0.194027123,386727.0449,120525.0426
PRKD3,1.245154377,0.125819853,0.332169984,100638.5733,75151.3079
DCAF17,1.205491625,0.195141525,0.418199947,71036.94683,27651.77896
QPCT,0.639449185,0.001870346,0.045677999,133532.2029,243249.1956
RAB3GAP1,1.480142373,0.007248055,0.081615736,291179.2456,89977.91555
SLC25A12,1.075092937,0.610261172,0.778786795,130305.0831,82607.8312
DLX2,0.931927252,0.617624879,0.78330541,25074.16908,75923.52654
LCT,0.969853713,0.828390333,0.911395225,2896.339036,9592.015235
DARS1,1.334315001,0.046730128,0.198566086,495995.5312,160337.4011
SRSF7,1.169651349,0.274826406,0.506151191,670714.2501,164951.5713
SDC1,1.143828391,0.341734256,0.567883584,2473489.731,2230239.664
PLCL1,1.098360784,0.508454284,0.706761394,41658.63253,48839.7555
SLC1A4,0.649546614,0.002882337,0.054785213,364752.2131,278832.1731
SOS1,1.319622446,0.055525883,0.216882845,175233.257,87539.36436
KYNU,1.157792481,0.304055501,0.533797117,28795.24941,65735.4392
WIPF1,1.124959462,0.412474257,0.631269945,170685.3637,109903.0047
ORC2,0.899030205,0.452404239,0.664001963,115928.4645,33789.68611
COX7A2L,0.955249579,0.748437243,0.864311713,417801.6126,123427.888
PNO1,1.209747919,0.181447584,0.402530883,257436.6548,90371.40451
ORC4,1.304265159,0.063190891,0.232900816,88894.95743,25394.28488
PLEK,0.944939519,0.690680175,0.830230947,201651.3532,196786.0216
RND3,1.107539127,0.476446967,0.683650378,348807.3703,315489.5208
ATF2,1.280513982,0.090997549,0.280823806,226879.3332,87679.72889
THADA,0.751996931,0.044724823,0.195564562,92713.90354,30002.47593
AAK1,1.671215852,0.000402706,0.0264582,47970.24398,24455.35149
TRAK2,1.375643255,0.026138945,0.150616637,233752.0011,133225.9808
C2orf42,1.184341266,0.23438525,0.462995435,73370.65138,16506.12824
TIA1,0.969555537,0.827714599,0.911066356,296102.1406,122894.4018
PCYOX1,1.393721596,0.020586631,0.133075544,610440.8111,355541.2508
EPAS1,1.344794224,0.039880998,0.18550265,613231.4437,608040.6514
ARID3A,1.022393841,0.87676857,0.938413401,38200.10562,21192.18911
SUMO1,0.812509887,0.145138394,0.357578887,1169532.382,379283.8352
CD207,0.737462688,0.032008478,0.166016323,45645.99852,152672.1939
VAX2,1.004587357,0.974134912,0.98753182,46149.93502,70624.23094
ATP6V1B1,0.910343793,0.506019109,0.704916456,239927.321,451666.128
NFE2L2,1.167469533,0.280790751,0.511631074,446023.4979,154085.8863
MSH6,0.930978133,0.612705124,0.780180344,191790.5241,90864.02583
SPR,0.720063147,0.022721281,0.139421366,818489.8532,538289.3073
EPHA4,1.113723645,0.449351253,0.661254692,42289.319,72377.89273
ALMS1,0.982615416,0.901090647,0.950214455,74807.34409,48428.37257
BCL9,0.742381512,0.037066797,0.179599401,235270.1318,131038.4618
PRRX1,1.126606226,0.399185498,0.619569892,319367.0338,241943.1016
DHCR24,0.846216281,0.240940182,0.469171747,4004157.149,3069569.667
DNAJC16,0.871979323,0.332097595,0.559557367,106198.2595,39809.75345
MARK1,1.202158128,0.198828456,0.422506488,37975.26665,38601.04871
TNR,0.749753191,0.042706288,0.191785831,2707.297278,20600.72814
MORN1,0.699463408,0.013151627,0.108111697,18202.92797,11607.76291
GPX7,0.844207048,0.230921525,0.459585328,189749.5416,167183.3321
CACYBP,1.022134694,0.877456475,0.938723126,467989.6506,235525.3153
SCP2,1.108795099,0.467577878,0.676546854,418378.8356,255882.1244
TPSG1,1.089321274,0.544977796,0.733166768,66738.34823,191403.0188
PAPPA2,1.336523218,0.043068103,0.192552431,2706.087906,12775.00747
RALGPS2,0.803238536,0.124806399,0.331018991,195690.0656,142546.0957
CEP104,1.658206661,0.000572854,0.029683426,117262.013,35396.83814
FAM20B,0.910217653,0.505281857,0.704232129,445121.804,180147.2051
TCEANC2,1.230754138,0.143609909,0.355103331,29805.49039,10245.19648
TMEM59,1.12274547,0.413238936,0.632032783,812579.8371,338150.7913
LRRC42,0.733597639,0.031792003,0.165472512,333028.5619,152316.3394
WRAP73,0.701265061,0.013557931,0.109258046,63179.18132,24567.43395
ICMT,1.201707392,0.193439474,0.416012437,549359.3643,159819.1144
RPL22,0.84244291,0.225474889,0.454218618,1460612.574,595676.1598
CHD5,1.53812529,0.00255866,0.052426513,1696.003538,8391.591472
QSOX1,0.931883965,0.621772198,0.785187935,744026.4492,665467.985
STXBP3,0.930855682,0.612547113,0.780139281,203565.1927,71144.11564
PHF13,0.997617885,0.986563344,0.993137057,252050.7417,73627.99858
PARK7,0.650194316,0.003122155,0.056757498,1878231.229,832691.825
ELAPOR1,0.757417949,0.050818518,0.207017493,1067416.762,819524.6279
OPRD1,0.882299919,0.378198313,0.601267675,7597.731079,20614.77203
AMPD2,1.042876208,0.767449781,0.875036577,123376.4381,55732.27129
