gene,anomaly_score,hazard_ratio,fdr,mean_expression,log_hazard,anomaly_norm,hazard_norm,fdr_norm,target_score,risk_type
STRN,0.00015901675,1.43254494822081,0.109715276423157,167471.185156618,0.35945254658102915,0.00023377797212780697,0.7049116554943848,0.10876737770009157,0.596378055766421,High-risk (oncogenic)
VCL,0.0002857023,1.43071722585291,0.109138252666246,461443.239711109,0.3581758750748719,0.00042004891994153334,0.7040790725889348,0.10818972052658345,0.5963094009822928,High-risk (oncogenic)
SLC43A3,0.0053986944,1.4214700371957,0.112615316881927,202927.055854194,0.35169157358616904,0.007937890415132544,0.6998503273343868,0.11167060162182463,0.5961176161276948,High-risk (oncogenic)
ZFC3H1,0.00013705864,1.42852576360815,0.108271801369355,103455.447662196,0.3566429779535308,0.0002014920645251004,0.7030793918308955,0.10732231809964715,0.5959585657957736,High-risk (oncogenic)
MAP3K5,0.0002474874,1.42939256993651,0.109973591275267,112279.604218015,0.35724957776064575,0.0003638599888155543,0.7034749866471168,0.10902597611230228,0.5948128705236302,High-risk (oncogenic)
PRKAR1A,0.00030254977,1.42706379878336,0.109258045588799,1002706.22061887,0.3556190458228242,0.0004448204444379209,0.7024116332224705,0.10830964494948535,0.594546808717423,High-risk (oncogenic)
RCAN1,0.0023128106,1.4276300097195,0.112615316881927,262344.843729965,0.3560157335109247,0.0034005891975191394,0.7026703335900452,0.11167060162182463,0.5944003211657397,High-risk (oncogenic)
PLCH1,0.00022177838,1.42661289856018,0.109138252666246,38805.8759055772,0.3553030322902806,0.00032605896476220296,0.7022055446054551,0.10818972052658345,0.5943418830436339,High-risk (oncogenic)
ITGA1,0.00017236703,1.42695427635029,0.109259095229855,83262.5902362179,0.3555422961805721,0.00025340743507112315,0.702361580848128,0.10831069574276439,0.5943042925404347,High-risk (oncogenic)
GPR63,0.00014353532,1.42685489520482,0.109258045588799,6479.84921558729,0.3554726481140504,0.00021101499213828283,0.7023161597752021,0.10830964494948535,0.594217529817855,High-risk (oncogenic)
PAXBP1,0.00015194839,1.42921539462091,0.11043577898186,111470.878891206,0.3571256186042847,0.00022338507320059203,0.7033941465296218,0.10948867117645349,0.594128860426369,High-risk (oncogenic)
TBC1D2B,0.00014069576,1.42629956973442,0.109138252666246,134383.979319169,0.3550833768816398,0.0002068398708827494,0.7020622960583999,0.10818972052658345,0.5940794154026992,High-risk (oncogenic)
WASF1,0.0002233747,1.4266298455968,0.109585332554267,79386.0252405694,0.35531491143141214,0.000328406099375535,0.7022132916020709,0.10863729118784891,0.5939044065135975,High-risk (oncogenic)
ZNF248,0.00014859771,1.42748122856435,0.109982353624507,47348.6232839264,0.3559115125942124,0.00021845843129533532,0.7026023657900069,0.10903474808024059,0.5937860761410616,High-risk (oncogenic)
WBP4,0.00014755213,1.42842211505816,0.11043577898186,131790.362495488,0.35657041901690506,0.00021692107223887565,0.7030320724304225,0.10948867117645349,0.593760322326208,High-risk (oncogenic)
MTM1,0.00013963567,1.4251603001353,0.109136385445072,106785.587655105,0.35428429871695694,0.0002052811771795776,0.7015411762426722,0.10818785125570375,0.593558606164148,High-risk (oncogenic)
PCDHA9,0.00015371252,1.42749611939513,0.11043577898186,613.040160682174,0.35592194408207756,0.00022597894572328015,0.7026091686977503,0.10948867117645349,0.5933464764670201,High-risk (oncogenic)
